control 5 done, mean burn 58.6, max 33257
control 2 done, mean burn 59.1, max 30878
control 0 done, mean burn 55.1, max 34002
control 4 done, mean burn 56.4, max 34841
control 1 done, mean burn 59.1, max 32950
control 3 done, mean burn 59.7, max 34917
control 6 done, mean burn 55.2, max 33047
control 8 done, mean burn 59.5, max 34522
control 7 done, mean burn 55.5, max 34508
control 9 done, mean burn 56.3, max 33667
capped 0 done, mean burn 55.7, max 1500
capped 1 done, mean burn 59.5, max 1500
capped 2 done, mean burn 58.7, max 1500
capped 4 done, mean burn 59.1, max 1500
capped 5 done, mean burn 55.1, max 1500
capped 3 done, mean burn 56.5, max 1500
capped 7 done, mean burn 59.4, max 1500
capped 6 done, mean burn 55.8, max 1500
capped 8 done, mean burn 54.5, max 1500
capped 9 done, mean burn 59.0, max 1500
